,File,Date,Description,Original value,Currency,Budget 0,Manual bgt
620,Lag USA20 - Losses,2020-06-01,Booze,-10.13,USD,Booze,
621,Lag USA20 - Losses,2020-06-01,Credit card,-49.09,USD,Credit card,
622,Lag USA20 - Losses,2020-06-01,Gifts,-63.75,USD,Other gifts,
623,Lag USA20 - Losses,2020-06-01,Other Mid,-107.24,USD,Other mid,
624,Lag USA20 - Losses,2020-06-01,Supermarket,-6.51,USD,Supermarket,
625,Lag USA20 - Losses,2020-06-01,Restaurant,-40.21,USD,Restaurant,
626,Lag USA20 - Losses,2020-06-01,Other MN free,-14.86,USD,Other MN free,
627,Lag USA20 - Losses,2020-06-01,Supermarket,-8.91,USD,Supermarket,
628,Lag USA20 - Losses,2020-06-01,Other MN free,-26.5,USD,Other MN free,
629,Lag USA20 - Losses,2020-06-01,Gifts,-121.18,USD,Other gifts,
630,Lag USA20 - Losses,2020-06-01,Supermarket,-24.23,USD,Supermarket,
631,Lag USA20 - Losses,2020-06-01,Other MN free,-9.99,USD,Other MN free,
632,Lag USA20 - Losses,2020-06-01,FSP,-29.9,BRL,Folha de SP,
633,Lag USA20 - Losses,2020-06-01,Credit card,-64.36000000000001,BRL,Credit card,
634,Lag USA20 - Losses,2020-06-01,Other mid,5250.0,BRL,Other mid,
635,Lag USA20 - Losses,2020-06-01,Therapy,-600.0,BRL,MN therapy,
636,Lag USA20 - Losses,2020-06-01,Other mid,-10500.0,BRL,Other mid,
637,Lag USA20 - Losses,2020-06-01,Investment,10550.0,BRL,Intra-transter,
638,Lag USA20 - Losses,2020-06-01,Investment,-2638.09,USD,Intra-transter,
639,Lag USA20 - Losses,2020-06-01,Investment,-1000.0,USD,Intra-transter,
640,Lag USA20 - Losses,2020-06-01,401k ,-289.407,USD,Other pre-tax deductions,
641,Lag USA20 - Losses,2020-06-01,Health care,-108.23821799999999,USD,Health care fee,
642,Lag USA20 - Losses,2020-06-01,Dental and Vision,-13.923692333333333,USD,Dental fee,
